id,old_category,proposed_category,confidence,reason
d64297ff-e0e1-4f14-a44b-15634f2c6bc0,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6e3cc21b-eb28-4287-b277-4bf8cc617549,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c36854ca-72b8-46f1-a62e-d21c508bdfec,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
7c15cb77-8a96-488e-99c4-fa721cc070bb,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6136f703-90b3-4f2a-8526-3ab7abda7dd4,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
ba0ce4e5-3cac-4c65-bb5b-f8a57908e6b1,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d32be0d0-6e10-4e29-a553-78ab1fadb386,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
36fb11ff-3bab-454d-b04a-fb39165d1e4e,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
75e919c0-7a60-4ff2-8e76-d6224bd97723,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
313f221f-d11a-4351-89cb-c4b6457e321d,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
ac16de08-a846-454c-8eaf-eb429118e367,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
103c90a7-1405-42a8-bcd0-d2ace78029fb,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
01c682c2-d2a7-4970-a95e-63e4a224ec84,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3359cf72-cb98-4378-8333-244750416cae,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6278d5eb-b571-4ba7-8972-790bbdb91d9a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d8aafc00-1b66-46e0-a518-d79843818012,"Soap & Bar Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a4ef520c-96c8-4139-9271-c3c994f504b9,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3e2224d6-f5b5-424a-8c22-b802e6720dff,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c8dafb6d-9c4c-4471-96e8-2dcc75dcdc31,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
0fea6e17-4e5d-4085-8d00-a4881b00066a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
95c931eb-540b-40f5-9737-dd678c17e120,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
add2257a-3597-44a5-9080-38c26c6c708b,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
f2ab9c63-150e-42ab-bb85-69f3604222d0,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
ce7fe9cd-6f6a-4568-abc4-0fc4bc7781cb,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2e34814b-6f8b-4a21-ac6f-4178c92a87f4,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
fac784ba-f609-4543-ab54-b955928b4c2a,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
9db70d46-7342-47c0-a335-0cb2fa31d700,"Fragrance Oils","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
8c7ce968-b050-4b52-8736-4da237861b12,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
42bffd58-add7-416e-8b2d-82b94c1d0336,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
5941db52-932e-49fc-8895-dfed39baa255,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
34608784-1976-40c7-ad1c-0e68fbbd5100,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
65922ca0-198b-4d42-ae30-91ccbc129df4,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3d1f5dba-a184-4450-8c0e-5867d76caaad,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
4a3398d5-2577-4caf-9307-f6bb8efb950f,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
9771b6f9-48ef-4ab0-b3f9-af165b2a0a71,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
cb0eec73-25a2-4580-8c4b-04cfbfe5a310,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
b3277535-be89-4126-a5b1-fb0dac1290b1,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6f436383-7bb0-4d56-8d40-d9cc4fd4b212,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d0cda7fc-c916-4ce1-ac68-0cf76b7d25b9,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
0121610a-7ca7-46a9-b545-6b3e5bf8d958,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
472406ac-49bc-4099-916f-e45b06a5f185,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2d860345-ca1c-48bd-b205-e68c0e7abeac,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d75d45f1-deb8-495f-b9a9-314235d5b477,"Pigments & Colors","Fragrance Oils","HIGH","Matched type Fragrance Oil"
af18cd5a-57d0-473a-9161-0c004ca38263,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
89311088-2096-4619-90f2-19f0a88ba801,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6ee915b9-6ce2-4895-ad48-32dadaa1972e,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
9656b7cd-a592-4eab-ae14-3a7ea1ca3bf8,"General Silicone Moulds","Containers & Packaging","HIGH","Matched type Bottle/Container"
b26d65ad-055e-4c48-a163-5e7b6ff60eb4,"General Silicone Moulds","Containers & Packaging","HIGH","Matched type Bottle/Container"
177cf655-7fbc-48da-b4c9-c2539480209d,"General Silicone Moulds","Containers & Packaging","HIGH","Matched type Bottle/Container"
8d5c9ab9-4084-4624-a20f-1932341e8d37,"Pigments & Colors","Containers & Packaging","HIGH","Matched type Bottle/Container"
a22ea45d-90d5-4dc3-bea2-ec30de7367c7,"General Silicone Moulds","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
fbbb167a-c50e-47cb-8485-43413829d1d3,"General Silicone Moulds","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
9504ea82-400d-4adf-93a0-607cb2838def,"General Silicone Moulds","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
a032e5b8-a569-4feb-b02c-29eca65e0294,"General Silicone Moulds","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
